id,bangla_question,english_question
29,কোনো তরঙ্গের কম্পনকে কেবল একটি নির্দিষ্ট দিকে বা তলে সীমাবদ্ধ করার প্রক্রিয়াকে কী বলে?,What is the process of restricting the vibration of a wave to a specific direction or plane called?
30,একটি বস্তু 30 m/s বেগে চলছে। 6 m/s² মন্দনে কত সময়ে থেমে যাবে?,An object is moving at 30 m/s velocity. In how much time will it stop with a deceleration of 6 m/s²?
31,তাপমাত্রা বৃদ্ধি পেলে তলটান,If temperature increases; surface tension
32,একটি 12 Ω রোধের মধ্য দিয়ে 21 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 12 Ω at 21 V potential and how much power will be dissipated?
33,একটি 1232 kg ভরের গাড়ি 20 m/s বেগে চলছে। ড্রাইভার ব্রেক চেপে 4.0 m/s² মন্দন তৈরি করল। (ক) গাড়ি থামতে কত সময় লাগবে? (খ) থামার আগে কত দূরত্ব অতিক্রম করবে? (গ) ব্রেক চাপার 6 সেকেন্ড পর গাড়ির বেগ কত? (ঘ) এই প্রক্রিয়ায় কত যান্ত্রিক শক্তি তাপে রূপান্তরিত হলো?,A car of mass 1232 kg is moving at 20 m/s velocity. The driver applies brakes creating a deceleration of 4.0 m/s². (a) How much time will it take for the car to stop? (b) How much distance will it cover before stopping? (c) What will be the velocity of the car 6 seconds after applying brakes? (d) How much mechanical energy was converted to heat in this process?
34,একটি বৃত্তের ব্যাসার্ধ 17 সেমি এবং একটি বর্গের বাহু 29 সেমি। উভয়ের ক্ষেত্রফল ও পরিসীমার অনুপাত নির্ণয় করো।,The radius of a circle is 17 cm and the side of a square is 29 cm. Determine the ratio of areas and perimeters of both.
35,33 kg ভরের একটি গাড়ি 49 m/s বেগে চলছে এবং 5 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 33 kg is moving at 49 m/s velocity and decreases to 5 m/s. What is the change in momentum and change in kinetic energy?
36,76 kg ভরের একটি গাড়ি 34 m/s বেগে চলছে এবং 11 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 76 kg is moving at 34 m/s velocity and decreases to 11 m/s. What is the change in momentum and change in kinetic energy?
37,80 kg ভরের একটি গাড়ি 35 m/s বেগে চলছে এবং 13 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 80 kg is moving at 35 m/s velocity and decreases to 13 m/s. What is the change in momentum and change in kinetic energy?
38,nP3×5=nP4 হলে n এর মান কত?,If nP3×5=nP4; what is the value of n?
39,175 N বল প্রয়োগে একটি বস্তু 15 m সরলে কৃত কাজ কত?,What is the work done when an object moves 15 m by applying a force of 175 N?
40,<একটি সরল দোলকের বিস্তার A এবং দোলন কাল T দোলকটি x = A/2 সরণের সময় কাল t সেকেন্ড,The amplitude of a simple pendulum is A and its period is T. What is the time t in seconds for the pendulum to have a displacement of x = A/2?
41,2A ⃗ এবং A ⃗ ভেক্টরদ্বয় পরস্পরের সঙ্গে একটি নির্দিষ্ট কোণে আনত। প্রথম ভেক্টরকে দ্বিগুণ করলে ফলিতের মান তিনগুণ বৃদ্ধি পায়। ভেক্টরদ্বয়ের অন্তর্ভুক্ত কোণ কত?,The vectors 2A ⃗ and A ⃗ are inclined at a certain angle to each other. If the first vector is doubled; the magnitude of the resultant increases threefold. What is the angle between the vectors?
42,26 kg ভরের একটি গাড়ি 38 m/s বেগে চলছে এবং 15 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 26 kg is moving at 38 m/s velocity and decreases to 15 m/s. What is the change in momentum and change in kinetic energy?
43,একটি সমান্তরালিকের বাহু A ⃗ = 4i ̂ এবং B ⃗ = 3j ̂। ক্ষেত্রফল কত?,The sides of a parallelogram are A ⃗ = 4i ̂ and B ⃗ = 3j ̂. What is the area?
44,একটি দ্বিঘাত সমীকরণ 2x² + -20x + 48 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 2x² + -20x + 48 = 0 and verify the sum and product of the roots.
45,একটি বৃত্তের ব্যাসার্ধ 18 সেমি এবং একটি বর্গের বাহু 22 সেমি। উভয়ের ক্ষেত্রফল ও পরিসীমার অনুপাত নির্ণয় করো।,The radius of a circle is 18 cm and the side of a square is 22 cm. Determine the ratio of areas and perimeters of both.
46,একটি ব্যাংকে 56853 টাকা 9 বছরের জন্য বার্ষিক 6% হারে সরল সুদ ও বছরে 1 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 56853 taka is deposited in a bank for 9 years at an annual rate of 6% for both simple interest and compound interest compounded 1 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
47,3×10⁶ m গভীরতা বিশিষ্ট একটি খনির তলদেশে অভিকর্ষজ ত্বরণের মান কত হবে?,What will be the value of acceleration due to gravity at the bottom of a mine 3×10⁶ m deep?
48,পর্যায় সারণির 6 নং গ্রুপের মৌলের যোজ্যতা ইলেকট্রন কতটি?,How many valence electrons do elements of group 6 in the periodic table have?
49,51 kg ভরের একটি গাড়ি 36 m/s বেগে চলছে এবং 12 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 51 kg is moving at 36 m/s velocity and decreases to 12 m/s. What is the change in momentum and change in kinetic energy?
50,"175 g NaCl-এ কত মোল আছে? (Na=23, Cl=35.5)","How many moles are there in 175 g NaCl? (Na=23, Cl=35.5)"
51,নিচের কোনটি এখনো রহস্যময়?,Which of the following is still mysterious?
52,একটি রাসায়নিক বিক্রিয়ায় 82 g Ca এবং 23 g N₂ বিক্রিয়া করে। (ক) লিমিটিং রিঅ্যাক্ট্যান্ট কোনটি? (খ) আদর্শ ফলন কত গ্রাম? (গ) 84% ফলন পেলে প্রকৃত ফলন কত? (ঘ) অতিরিক্ত রিঅ্যাক্ট্যান্ট কত মোল অবশিষ্ট থাকবে?,"In a chemical reaction, 82 g Ca and 23 g N₂ react. (a) Which is the limiting reactant? (b) What is the theoretical yield in grams? (c) What is the actual yield if 84% yield is obtained? (d) How many moles of excess reactant will remain?"
53,একটি বস্তু 80 m/s বেগে চলছে। 5 m/s² মন্দনে কত সময়ে থেমে যাবে?,An object is moving at 80 m/s velocity. In how much time will it stop with a deceleration of 5 m/s²?
54,"3Ω,4Ω এবং 12Ω রোধের সমান্তরাল সংযোগের ক্ষেত্রে সমতূল্য রোধ",In the case of a parallel connection of 3?; 4? and 12? resistors; the equivalent resistance is
55,একটি সমকোণী ত্রিভুজের ভূমি 7 cm এবং লম্ব 7 cm। কর্ণের দৈর্ঘ্য এবং ক্ষেত্রফল নির্ণয় করো।,A right triangle has base 7 cm and height 7 cm. Determine the length of hypotenuse and area.
56,একটি বৃত্তের ব্যাসার্ধ 19 সেমি এবং একটি বর্গের বাহু 26 সেমি। উভয়ের ক্ষেত্রফল ও পরিসীমার অনুপাত নির্ণয় করো।,The radius of a circle is 19 cm and the side of a square is 26 cm. Determine the ratio of areas and perimeters of both.
57,তিনটি বস্তু তাপীয় সাম্যাবস্থায় থাকলে নিচের কোন রাশিটি একই হবে?,If three objects are in thermal equilibrium; which of the following quantities will be the same?
58,৮০ মিটার উচ্চতা থেকে একটি পাথর পড়ে। পড়ার সময় কত? (g = ৯.৮ m/s²),A stone falls from a height of 80 meters; What is the time of fall? (g = 9.8 m/s²)
59,একটি 34 Ω রোধের মধ্য দিয়ে 17 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 34 Ω at 17 V potential and how much power will be dissipated?
60,S = 1/3t3+ 3t; সুত্রানুসারে একটি বস্তু সরল রেখায় চলছে ; 4s পরে এর বেগ কত হবে ?,If S = 1/3 t^3 + 3t; an object moves in a straight line; what is its velocity after 4 s?
61,একটি সমান্তর অনুক্রমের প্রথম পদ 25 এবং সাধারণ অন্তর 11। 19 তম পদ এবং প্রথম 19 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 25 and common difference is 11. Determine the 19th term and the sum of first 19 terms.
62,একটি বস্তুর ভর 35 kg এবং বেগ 25 m/s হলে ভরবেগ কত?,What is the momentum of an object with mass 35 kg and velocity 25 m/s?
63,65 g NaOH এবং 92 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 95% ফলন পেলে প্রকৃত ফলন কত?,65 g NaOH and 92 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 95% yield is obtained?
64,61 g NaOH এবং 72 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 90% ফলন পেলে প্রকৃত ফলন কত?,61 g NaOH and 72 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 90% yield is obtained?
65,কোনো তরঙ্গের বেগ ৪৫ m/s এবং তরঙ্গদৈর্ঘ্য ৯ মিটার। কম্পাঙ্ক কত?,A wave has a velocity of 45 m/s and a wavelength of 9 meters. What is the frequency?
66,67 kg ভরের একটি গাড়ি 40 m/s বেগে চলছে এবং 15 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 67 kg is moving at 40 m/s velocity and decreases to 15 m/s. What is the change in momentum and change in kinetic energy?
67,একটি 12 Ω রোধের মধ্য দিয়ে 6 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 12 Ω at 6 V potential and how much power will be dissipated?
68,নিচের কোনটির ক্ষেত্রে অপবর্তন সবচেয়ে বেশি হয়?,For which of the following is diffraction the greatest?
69,একটি সমান্তর অনুক্রমের প্রথম পদ 34 এবং সাধারণ অন্তর 3। 17 তম পদ এবং প্রথম 17 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 34 and common difference is 3. Determine the 17th term and the sum of first 17 terms.
70,30°C তাপমাত্রায় কোনো রোধকের রোধ 70°C তাপমাত্রায় রোধের দ্বিগুণ হয়। রোধকের উষ্ণতা সহগ কত?,The resistance of a resistor at 30°C is double its resistance at 70°C; what is the temperature coefficient of the resistor?
71,একটি 12 Ω রোধের মধ্য দিয়ে 19 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 12 Ω at 19 V potential and how much power will be dissipated?
72,একটি সমান্তর অনুক্রমের প্রথম পদ 26 এবং সাধারণ অন্তর 2। 17 তম পদ এবং প্রথম 17 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 26 and common difference is 2. Determine the 17th term and the sum of first 17 terms.
73,যদি চাঁদ পৃথিবীর কেন্দ্র হতে 384400 km গড় দূরত্বে পৃথিবীর চারদিকে পরিভ্রমণ করে তাহলে চাঁদের পরিভ্রমণ গতি হবে (পৃথিবীর ভর 6 × 1024 kg) –,If the moon revolves around the Earth at an average distance of 384400 km from the center of the Earth; then the orbital speed of the moon will be (mass of Earth 6 × 1024 kg) –
74,78 kg ভরের একটি গাড়ি 70 m/s বেগে চলছে এবং 21 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 78 kg is moving at 70 m/s velocity and decreases to 21 m/s. What is the change in momentum and change in kinetic energy?
75,বাষ্পায়ন হয় যখন—,Evaporation happens when—
76,একটি ব্যাংকে 251211 টাকা 8 বছরের জন্য বার্ষিক 12% হারে সরল সুদ ও বছরে 2 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 251211 taka is deposited in a bank for 8 years at an annual rate of 12% for both simple interest and compound interest compounded 2 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
77,একটি বস্তু থেকে 30cm দূরে একটি অবতল দর্পণ আছে। বস্তুর উপর দর্পণের একটি 3 গুণ বিবর্ধিত বাস্তব প্রতিচ্ছবি পেতে হলে দর্পণের ফোকাল দৈর্ঘ্য কত হবে?,An object is placed 30cm from a concave mirror. To obtain a real image magnified 3 times; what must be the focal length of the mirror?
78,78 g NaOH এবং 29 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 84% ফলন পেলে প্রকৃত ফলন কত?,78 g NaOH and 29 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 84% yield is obtained?
79,43 kg ভরের একটি গাড়ি 26 m/s বেগে চলছে এবং 9 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 43 kg is moving at 26 m/s velocity and decreases to 9 m/s. What is the change in momentum and change in kinetic energy?
80,ইন্ডাকট্যান্সের একক কী?,What is the unit of inductance?
81,একটি 963 kg ভরের গাড়ি 23 m/s বেগে চলছে। ড্রাইভার ব্রেক চেপে 5.5 m/s² মন্দন তৈরি করল। (ক) গাড়ি থামতে কত সময় লাগবে? (খ) থামার আগে কত দূরত্ব অতিক্রম করবে? (গ) ব্রেক চাপার 6 সেকেন্ড পর গাড়ির বেগ কত? (ঘ) এই প্রক্রিয়ায় কত যান্ত্রিক শক্তি তাপে রূপান্তরিত হলো?,A car of mass 963 kg is moving at 23 m/s velocity. The driver applies brakes creating a deceleration of 5.5 m/s². (a) How much time will it take for the car to stop? (b) How much distance will it cover before stopping? (c) What will be the velocity of the car 6 seconds after applying brakes? (d) How much mechanical energy was converted to heat in this process?
82,একটি দ্বিঘাত সমীকরণ 1x² + -2x + -24 = 0 এর বাস্তব মূল নির্ণয় করো এবং মূলদ্বয়ের সমষ্টি ও গুণফল যাচাই করো।,Find the real roots of the quadratic equation 1x² + -2x + -24 = 0 and verify the sum and product of the roots.
83,100 lux আলোর তীব্রতায় এবং 0.03% CO₂ ঘনমাত্রায় সালোকসংশ্লেষণের হার কীভাবে পরিবর্তিত হয়?,How does the rate of photosynthesis change at 100 lux light intensity and 0.03% CO₂ concentration?
84,20N এবং 60N মানের দুই ভেক্টর রাশির মধ্যে 30° কোণ হলে রাশি দুইটির লদ্ধির মান -,If the angle between two vector quantities of magnitude 20N and 60N is 30°; the magnitude of the resultant of the two quantities is -
85,একটি বস্তু 50 m/s বেগে চলছে। 6 m/s² মন্দনে কত সময়ে থেমে যাবে?,An object is moving at 50 m/s velocity. In how much time will it stop with a deceleration of 6 m/s²?
86,নিচের কোনটি ডায়াচৌম্বক পদার্থের উদাহরণ?,Which of the following is an example of a diamagnetic material?
87,পৃথিবীর কেন্দ্রে g এর মান -,The value of g at the center of the Earth is -
88,ইয়ং এর দ্বি চিড় পরীক্ষায় একটি চিড় বাদ দিলে কোন আলোকয় ঘটনা ঘটবে?,In Young's double-slit experiment; if one slit is removed; which optical phenomenon will occur?
89,আলোর প্রতিসরণ কী?,What is the refraction of light?
90,একটি সমান্তর অনুক্রমের প্রথম পদ 24 এবং সাধারণ অন্তর 7। 28 তম পদ এবং প্রথম 28 পদের সমষ্টি নির্ণয় করো।,The first term of an arithmetic progression is 24 and common difference is 7. Determine the 28th term and the sum of first 28 terms.
91,বৃত্তীয় গতির ক্ষেত্রে কৌনিক ভরবেগের রাশি কোনটি?,In case of circular motion; which is the expression for angular momentum?
92,একটি বস্তুর ভর 35 kg এবং বেগ 15 m/s হলে ভরবেগ কত?,What is the momentum of an object with mass 35 kg and velocity 15 m/s?
93,একটি বস্তুকে অনুভূমিকের সাথে 45° কোণে 9.8 m/s বেগে নিক্ষেপ করলে কতদূর গিয়ে পড়বে?,If an object is thrown at a velocity of 9.8 m/s at an angle of 45° with the horizontal; how far will it land?
94,একটি রাসায়নিক বিক্রিয়ায় 71 g Zn এবং 84 g O₂ বিক্রিয়া করে। (ক) লিমিটিং রিঅ্যাক্ট্যান্ট কোনটি? (খ) আদর্শ ফলন কত গ্রাম? (গ) 88% ফলন পেলে প্রকৃত ফলন কত? (ঘ) অতিরিক্ত রিঅ্যাক্ট্যান্ট কত মোল অবশিষ্ট থাকবে?,"In a chemical reaction, 71 g Zn and 84 g O₂ react. (a) Which is the limiting reactant? (b) What is the theoretical yield in grams? (c) What is the actual yield if 88% yield is obtained? (d) How many moles of excess reactant will remain?"
95,14 g NaOH এবং 82 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 78% ফলন পেলে প্রকৃত ফলন কত?,14 g NaOH and 82 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 78% yield is obtained?
96,"একই বিস্তার, তরঙ্গদৈর্ঘ্য ও বেগ বিশিষ্ট দুইটি তরঙ্গের উপরিপাতনের ফলে একটি নতুন তরঙ্গ হল যার বিস্তার প্রথম দুইটি তরঙ্গের বিস্তারের 1.5 গুণ। তরঙ্গ দুইটির মধ্যে দশা পার্থক্য কত ছিল?",As a result of the superposition of two waves with the same amplitude; wavelength; and velocity; a new wave is formed whose amplitude is 1.5 times the amplitude of the first two waves. What was the phase difference between the two waves?
97,একটি 13 Ω রোধের মধ্য দিয়ে 15 V বিভবে কত তড়িৎ প্রবাহিত হবে এবং কত শক্তি ক্ষয় হবে?,How much current will flow through a resistor of 13 Ω at 15 V potential and how much power will be dissipated?
98,একটি দ্রব্য 2963 টাকায় কিনে 31% লাভে বিক্রয় করা হলো। বিক্রয় মূল্য এবং লাভের পরিমাণ কত?,An item was bought for 2963 taka and sold at 31% profit. What is the selling price and profit amount?
99,55 kg ভরের একটি গাড়ি 25 m/s বেগে চলছে এবং 21 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 55 kg is moving at 25 m/s velocity and decreases to 21 m/s. What is the change in momentum and change in kinetic energy?
100,<একটি স্থির তরঙ্গের পরপর দুটি নিস্পন্দ বিন্দুর মধ্যবর্তী দূরত্ব 1 m। এর তরঙ্গদৈর্ঘ্য কত ?,The distance between two consecutive nodes of a stationary wave is 1 m; What is its wavelength?
101,70 g NaOH এবং 80 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 80% ফলন পেলে প্রকৃত ফলন কত?,70 g NaOH and 80 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 80% yield is obtained?
102,5 cm বিস্তার এবং 10rads−110rads−1 কৌণিক কম্পাঙ্কবিশিষ্ট সরল ছন্দিত স্পন্দনরত কণার সর্বোচ্চ বেগ কত?,What is the maximum velocity of a particle in simple harmonic motion with an amplitude of 5 cm and an angular frequency of 10radsâˆ’110radsâˆ’1?
103,53 kg ভরের একটি গাড়ি 54 m/s বেগে চলছে এবং 20 m/s বেগে কমে গেল। ভরবেগের পরিবর্তন এবং গতিশক্তির পরিবর্তন কত?,A car of mass 53 kg is moving at 54 m/s velocity and decreases to 20 m/s. What is the change in momentum and change in kinetic energy?
104,48 g NaOH এবং 63 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 81% ফলন পেলে প্রকৃত ফলন কত?,48 g NaOH and 63 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 81% yield is obtained?
105,একটি ব্যাংকে 258562 টাকা 9 বছরের জন্য বার্ষিক 13% হারে সরল সুদ ও বছরে 2 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 258562 taka is deposited in a bank for 9 years at an annual rate of 13% for both simple interest and compound interest compounded 2 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
106,45 g NaOH এবং 31 g HCl বিক্রিয়া করে NaCl উৎপন্ন করে। আদর্শ ফলন কত গ্রাম এবং 93% ফলন পেলে প্রকৃত ফলন কত?,45 g NaOH and 31 g HCl react to produce NaCl. What is the theoretical yield in grams and what is the actual yield if 93% yield is obtained?
107,একটি ব্যাংকে 84741 টাকা 10 বছরের জন্য বার্ষিক 13% হারে সরল সুদ ও বছরে 2 বার চক্রবৃদ্ধি সুদে জমা দেওয়া হলো। (ক) সরল সুদের মোট টাকা কত? (খ) চক্রবৃদ্ধি সুদের মোট টাকা কত? (গ) পার্থক্য কত টাকা? (ঘ) কোন পদ্ধতিতে বেশি লাভ এবং কেন?,An amount of 84741 taka is deposited in a bank for 10 years at an annual rate of 13% for both simple interest and compound interest compounded 2 times per year. (a) What is the total amount with simple interest? (b) What is the total amount with compound interest? (c) What is the difference in taka? (d) Which method gives more profit and why?
108,0.165 M HCl দ্রবণের pH কত?,What is the pH of 0.165 M HCl solution?
109,একটি সমকোণী ত্রিভুজের ভূমি 11 cm এবং লম্ব 8 cm। কর্ণের দৈর্ঘ্য এবং ক্ষেত্রফল নির্ণয় করো।,A right triangle has base 11 cm and height 8 cm. Determine the length of hypotenuse and area.
110,ভূ-স্থির উপগ্রহের আবর্তনকাল-,The orbital period of a geostationary satellite is-
111,শূণ্য মাধ্যমে আলোর বেগ c হলে কোনটি সঠিক?,If the speed of light in a vacuum is c; which of the following is correct?
